cve,descrip
"T803","REACCION DE INCOMPATIBILIDAD AL GRUPO ABO"
"T804","REACCION DE INCOMPATIBILIDAD A RH"
"T805","CHOQUE ANAFILACTICO DEBIDO A SUERO"
"T806","OTRAS REACCIONES AL SUERO"
"T808","OTRAS COMPLICACIONES CONSECUTIVAS A INFUSION, TRANSFUSION E INYECCION TERAPEUTICA"
"T809","COMPLICACIONES NO ESPECIFICADAS CONSECUTIVAS A INFUSION, TRANSFUSION E INYECCION TERAPEUTICA"
"T810","HEMORRAGIA Y HEMATOMA QUE COMPLICAN UN PROCEDIMIENTO, NO CLASIFICADOS EN OTRA PARTE"
"T811","CHOQUE DURANTE O RESULTANTE DE UN PROCEDIMIENTO, NO CLASIFICADO EN OTRA PARTE"
"T812","PUNCION O LACERACION ACCIDENTAL DURANTE UN PROCEDIMIENTO, NO CLASIFICADAS EN OTRA PARTE"
"T813","DESGARRO DE HERIDA OPERATORIA, NO CLASIFICADO EN OTRA PARTE"
"T814","INFECCION CONSECUTIVA A PROCEDIMIENTO, NO CLASIFICADA EN OTRA PARTE"
"T815","CUERPO EXTRAÑO DEJADO ACCIDENTALMENTE EN CAVIDAD CORPORAL O EN HERIDA OPERATORIA CONSECUTIVA A PROCEDIMIENTO"
"T816","REACCION AGUDA A SUSTANCIA EXTRAÑA DEJADA ACCIDENTALMENTE DURANTE UN PROCEDIMIENTO"
"T817","COMPLICACIONES VASCULARES CONSECUTIVAS A PROCEDIMIENTO, NO CLASIFICADAS EN OTRA PARTE"
"T818","OTRAS COMPLICACIONES DE PROCEDIMIENTOS, NO CLASIFICADAS EN OTRA PARTE"
"T819","COMPLICACION DE PROCEDIMIENTOS, NO ESPECIFICADA"
"T820","COMPLICACION MECANICA DE PROTESIS DE VALVULA CARDIACA"
"T821","COMPLICACION MECANICA DE DISPOSITIVO ELECTRONICO CARDIACO"
"T822","COMPLICACION MECANICA DE DERIVACION DE ARTERIA CORONARIA E INJERTO VALVULAR"
"T823","COMPLICACION MECANICA DE OTROS INJERTOS VASCULARES"
"T824","COMPLICACION MECANICA DE CATETER PARA DIALISIS VASCULAR"
"T825","COMPLICACION MECANICA DE OTROS DISPOSITIVOS E IMPLANTES CARDIOVASCULARES"
"T826","INFECCION Y REACCION INFLAMATORIA DEBIDAS A PROTESIS DE VALVULA CARDIACA"
"T827","INFECCION Y REACCION INFLAMATORIA DEBIDAS A OTROS DISPOSITIVOS, IMPLANTES E INJERTOS CARDIOVASCULARES"
"T828","OTRAS COMPLICACIONES ESPECIFICADAS DE DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS CARDIOVASCULARES"
"T829","COMPLICACION NO ESPECIFICADA DE DISPOSITIVO PROTESICO, IMPLANTE E INJERTO CARDIOVASCULAR"
"T830","COMPLICACION MECANICA DE CATETER URINARIO (FIJO)"
"T831","COMPLICACION MECANICA DE OTROS DISPOSITIVOS E IMPLANTES URINARIOS"
"T832","COMPLICACION MECANICA DE INJERTO EN ORGANO URINARIO"
"T833","COMPLICACION MECANICA DE DISPOSITIVO ANTICONCEPTIVO INTRAUTERINO"
"T834","COMPLICACION MECANICA DE OTROS DISPOSITIVOS, IMPLANTES E INJERTOS EN EL TRACTO GENITAL"
"T835","INFECCION Y REACCION INFLAMATORIA DEBIDAS A DISPOSITIVO PROTESICO, IMPLANTE E INJERTO EN EL SISTEMA URINARIO"
"T836","INFECCION Y REACCION INFLAMATORIA DEBIDAS A DISPOSITIVO PROTESICO, IMPLANTE E INJERTO EN EL TRACTO GENITAL"
"T838","OTRAS COMPLICACIONES DE DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS GENITOURINARIOS"
"T839","COMPLICACION NO ESPECIFICADA DE DISPOSITIVO PROTESICO, IMPLANTE E INJERTO GENITOURINARIO"
"T840","COMPLICACION MECANICA DE PROTESIS ARTICULAR INTERNA"
"T841","COMPLICACION MECANICA DE DISPOSITIVO DE FIJACION INTERNA DE HUESOS DE UN MIEMBRO"
"T842","COMPLICACION MECANICA DE DISPOSITIVO DE FIJACION INTERNA DE OTROS HUESOS"
"T843","COMPLICACION MECANICA DE OTROS DISPOSITIVOS OSEOS, IMPLANTES E INJERTOS"
"T844","COMPLICACION MECANICA DE OTROS DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS ORTOPEDICOS INTERNOS"
"T845","INFECCION Y REACCION INFLAMATORIA DEBIDAS A PROTESIS ARTICULAR INTERNA"
"T846","INFECCION Y REACCION INFLAMATORIA DEBIDAS A DISPOSITIVO DE FIJACION INTERNA [CUALQUIER SITIO]"
"T847","INFECCION Y REACCION INFLAMATORIA DEBIDAS A OTROS DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS ORTOPEDICOS INTERNOS"
"T848","OTRAS COMPLICACIONES DE DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS ORTOPEDICOS INTERNOS"
"T849","COMPLICACIONES NO ESPECIFICADAS DE DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS ORTOPEDICOS INTERNOS"
"T850","COMPLICACION MECANICA DE DERIVACION (ANASTOMOTICA) VENTRICULAR INTRACRANEAL"
"T851","COMPLICACION MECANICA DE IMPLANTE DE ESTIMULADOR ELECTRONICO DEL SISTEMA NERVIOSO"
"T852","COMPLICACION MECANICA DE LENTES INTRAOCULARES"
"T853","COMPLICACION MECANICA DE OTROS DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS OCULARES"
"T854","COMPLICACION MECANICA DE PROTESIS E IMPLANTE DE MAMA"
"T855","COMPLICACION MECANICA DE DISPOSITIVO PROTESICO, IMPLANTE E INJERTO GASTROINTESTINAL"
"T856","COMPLICACION MECANICA DE OTROS DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS INTERNOS ESPECIFICADOS"
"T857","INFECCION Y REACCION INFLAMATORIA DEBIDAS A OTROS DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS INTERNOS"
"T858","OTRAS COMPLICACIONES DE DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS INTERNOS, NO CLASIFICADAS EN OTRA PARTE"
"T859","COMPLICACION NO ESPECIFICADA DE DISPOSITIVO PROTESICO, IMPLANTE E INJERTO INTERNO"
"T860","RECHAZO DE TRASPLANTE DE MEDULA OSEA"
"T861","FALLA Y RECHAZO DE TRASPLANTE DE RIÑON"
"T862","FALLA Y RECHAZO DE TRASPLANTE DE CORAZON"
"T863","FALLA Y RECHAZO DE TRASPLANTE DE PULMON-CORAZON"
"T864","FALLA Y RECHAZO DE TRASPLANTE DE HIGADO"
"T868","FALLA Y RECHAZO DE OTROS ORGANOS Y TEJIDOS TRASPLANTADOS"
"T869","FALLA Y RECHAZO DE TRASPLANTE DE ORGANO Y TEJIDO NO ESPECIFICADO"
"T870","COMPLICACIONES DE LA REINSERCION (DE PARTE) DE EXTREMIDAD SUPERIOR"
"T871","COMPLICACIONES DE LA REINSERCION (DE PARTE) DE EXTREMIDAD INFERIOR"
"T872","COMPLICACIONES DE OTRAS PARTES DEL CUERPO REINSERTADAS"
"T873","NEUROMA DE MUÑON DE AMPUTACION"
"T874","INFECCION DE MUÑON DE AMPUTACION"
"T875","NECROSIS DE MUÑON DE AMPUTACION"
"T876","OTRAS COMPLICACIONES Y LAS NO ESPECIFICADAS DE MUÑON DE AMPUTACION"
"T880","INFECCION CONSECUTIVA A INMUNIZACION"
"T881","OTRAS COMPLICACIONES CONSECUTIVAS A INMUNIZACION, NO CLASIFICADAS EN OTRA PARTE"
"T882","CHOQUE DEBIDO A LA ANESTESIA"
"T883","HIPERTERMIA MALIGNA DEBIDA A LA ANESTESIA"
"T884","FALLA O DIFICULTAD DE LA INTUBACION"
"T885","OTRAS COMPLICACIONES DE LA ANESTESIA"
"T886","CHOQUE ANAFILACTICO DEBIDO A EFECTO ADVERSO DE DROGA O MEDICAMENTO CORRECTO ADMINISTRADO APROPIADAMENTE"
"T887","EFECTO ADVERSO NO ESPECIFICADO DE DROGA O MEDICAMENTO"
"T888","OTRAS COMPLICACIONES ESPECIFICADAS DE LA ATENCION MEDICA Y QUIRURGICA, NO CLASIFICADAS EN OTRA PARTE"
"T889","COMPLICACIONES NO ESPECIFICADAS DE LA ATENCION MEDICA Y QUIRURGICA"
"T900","SECUELAS DE TRAUMATISMO SUPERFICIAL DE LA CABEZA"
"T901","SECUELAS DE HERIDA DE LA CABEZA"
"T902","SECUELAS DE FRACTURA DEL CRANEO Y DE HUESOS FACIALES"
"T903","SECUELAS DE TRAUMATISMO DE NERVIOS CRANEALES"
"T904","SECUELAS DE TRAUMATISMO DEL OJO Y DE LA ORBITA"
"T905","SECUELAS DE TRAUMATISMO INTRACRANEAL"
"T908","SECUELAS DE OTROS TRAUMATISMOS ESPECIFICADOS DE LA CABEZA"
"T909","SECUELAS DE TRAUMATISMO NO ESPECIFICADO DE LA CABEZA"
"T910","SECUELAS DE TRAUMATISMO SUPERFICIAL Y DE HERIDAS DEL CUELLO Y DEL TRONCO"
"T911","SECUELAS DE FRACTURA DE LA COLUMNA VERTEBRAL"
"T912","SECUELAS DE OTRA FRACTURA DEL TORAX Y DE LA PELVIS"
"T913","SECUELAS DE TRAUMATISMO DE LA MEDULA ESPINAL"
"T914","SECUELAS DE TRAUMATISMO DE ORGANOS INTRATORACICOS"
"T915","SECUELAS DE TRAUMATISMO DE ORGANOS INTRAABDOMINALES Y PELVICOS"
"T918","SECUELAS DE OTROS TRAUMATISMOS ESPECIFICADOS DEL CUELLO Y DEL TRONCO"
"T919","SECUELAS DE TRAUMATISMO NO ESPECIFICADO DEL CUELLO Y DEL TRONCO"
"T920","SECUELAS DE HERIDA DE MIEMBRO SUPERIOR"
"T921","SECUELAS DE FRACTURA DEL BRAZO"
"T922","SECUELAS DE FRACTURA DE LA MUÑECA Y DE LA MANO"
"T923","SECUELAS DE LUXACION, TORCEDURA Y ESQUINCE DE MIEMBRO SUPERIOR"
"T924","SECUELAS DE TRAUMATISMO DE NERVIO DE MIEMBRO SUPERIOR"
"T925","SECUELAS DE TRAUMATISMO DE TENDON Y MUSCULO DE MIEMBRO SUPERIOR"
"T926","SECUELAS DE APLASTAMIENTO Y AMPUTACION TRAUMATICAS DE MIEMBRO SUPERIOR"
"T928","SECUELAS DE OTROS TRAUMATISMOS ESPECIFICADOS DE MIEMBRO SUPERIOR"
"T929","SECUELAS DE TRAUMATISMO NO ESPECIFICADO DE MIEMBRO SUPERIOR"
"T930","SECUELAS DE HERIDA DE MIEMBRO INFERIOR"
"T931","SECUELAS DE FRACTURA DEL FEMUR"
"T932","SECUELAS DE OTRAS FRACTURAS DE MIEMBRO INFERIOR"
"T933","SECUELAS DE LUXACION, TORCEDURA Y ESGUINCE DE MIEMBRO INFERIOR"
"T934","SECUELAS DE TRAUMATISMO DE NERVIO DE MIEMBRO INFERIOR"
"T935","SECUELAS DE TRAUMATISMO DE TENDON Y MUSCULO DE MIEMBRO INFERIOR"
"T936","SECUELAS DE APLASTAMIENTO Y AMPUTACION TRAUMATICAS DE MIEMBRO INFERIOR"
"T938","SECUELAS DE OTROS TRAUMATISMOS ESPECIFICADOS DE MIEMBRO INFERIOR"
"T939","SECUELAS DE TRAUMATISMO NO ESPECIFICADO DE MIEMBRO INFERIOR"
"T940","SECUELAS DE TRAUMATISMOS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO"
"T941","SECUELAS DE TRAUMATISMOS DE REGIONES NO ESPECIFICADAS DEL CUERPO"
"T950","SECUELAS DE QUEMADURA, CORROSION Y CONGELAMIENTO DE LA CABEZA Y DEL CUELLO"
"T951","SECUELAS DE QUEMADURA, CORROSION Y CONGELAMIENTO DEL TRONCO"
"T952","SECUELAS DE QUEMADURA, CORROSION Y CONGELAMIENTO DE MIEMBRO SUPERIOR"
"T953","SECUELAS DE QUEMADURA, CORROSION Y CONGELAMIENTO DE MIEMBRO INFERIOR"
"T954","SECUELAS DE QUEMADURA Y CORROSION CLASIFICABLES SOLO DE ACUERDO CON LA EXTENSION DE LA SUPERFICIE DEL CUERPO AFECTADA"
"T958","SECUELAS DE OTRAS QUEMADURAS, CORROSIONES Y CONGELAMIENTOS ESPECIFICADOS"
"T959","SECUELAS DE QUEMADURA, CORROSION Y CONGELAMIENTO NO ESPECIFICADOS"
"T96X","SECUELAS DE ENVENENAMIENTOS POR DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS"
"T97X","SECUELAS DE EFECTOS TOXICOS DE SUSTANCIAS DE PROCEDENCIA PRINCIPALMENTE NO MEDICINAL"
"T980","SECUELAS DE EFECTOS DE CUERPOS EXTRAÑOS QUE PENETRAN EN ORIFICIOS NATURALES"
"T981","SECUELAS DE OTROS EFECTOS Y LOS NO ESPECIFICADOS DE CAUSAS EXTERNAS"
"T982","SECUELAS DE CIERTAS COMPLICACIONES PRECOCES DE LOS TRAUMATISMOS"
"T983","SECUELAS DE COMPLICACIONES DE LA ATENCION MEDICA Y QUIRURGICA, NO CLASIFICADAS EN OTRA PARTE"
